"KOD03_097"	"AD06_048"	"WC05_048"	"HS04_048"	"PS12_009"	"GS13_017"	"PWS12_133"	"UP03_048"
"X10675"	40	30	33	40	41	12	24	41
"X10677"	40	29	30	40	40	11	24	40
"X10679"	41	31	31	39	39	12	24	42
"X10688"	39	28	31	37	40	11	24	39
"X10691"	41	29	32	40	40	12	24	40
"X10692"	38	28	30	39	38	12	24	41
"X10695"	38	31	31	39	37	12	23	39
"X10696"	40	31	32	39	41	12	24	42
"X10697"	35	25	29	37	35	12	23	35
"X10698"	38	28	31	35	38	11	24	38
"X10699"	41	31	33	40	41	11	24	41
"X107"	41	31	33	39	41	12	24	42
"X1070"	40	25	32	37	39	12	24	41
"X10700"	40	31	33	40	41	12	24	42
"X10703"	41	31	33	40	40	12	24	42
"X10705"	41	31	33	40	41	12	24	42
"X10708"	35	25	28	36	36	11	24	38
"X10709"	40	30	33	39	41	12	23	42
"X10711"	41	31	33	40	41	12	24	42
"X10712"	41	31	33	40	41	12	24	42
"X10714"	39	30	32	38	40	12	24	40
"X10715"	40	31	32	39	41	12	22	42
"X10716"	39	31	33	40	41	12	23	40
"X10718"	36	26	28	33	38	11	23	37
"X1072"	40	30	32	38	39	11	24	42
"X10722"	41	31	33	40	41	12	24	42
"X10723"	34	29	30	34	33	11	24	37
"X10725"	40	31	32	40	39	12	24	42
"X10727"	37	30	30	38	36	12	24	35
"X10731"	35	28	32	38	39	12	22	37
"X10732"	40	31	33	40	40	12	23	42
"X10733"	39	31	32	37	38	12	24	41
"X10737"	39	31	32	38	38	12	23	41
"X10741"	40	31	32	39	41	12	24	42
"X10742"	38	31	33	38	41	12	24	42
"X10743"	41	31	33	40	41	12	23	42
"X10749"	39	31	33	40	35	11	24	41
"X1075"	41	31	33	40	41	12	24	42
"X10750"	33	29	29	39	37	12	24	38
"X10752"	40	31	30	39	38	12	23	40
"X10754"	41	31	33	40	41	12	24	41
"X10755"	41	30	32	40	40	12	24	42
"X10757"	38	30	33	38	41	12	24	40
"X10758"	37	26	29	37	38	11	23	38
"X10759"	41	31	31	40	41	12	24	42
"X10760"	41	31	33	40	41	12	24	42
"X10761"	41	29	32	38	41	12	24	42
"X10762"	39	30	33	39	41	12	24	42
"X10764"	36	29	30	39	37	10	23	37
"X10770"	41	31	32	40	41	12	24	42
"X10775"	34	30	29	38	41	12	24	39
"X10776"	38	29	33	38	39	12	24	40
"X10777"	41	31	33	40	41	12	24	42
"X10782"	36	26	28	36	38	12	24	36
"X10783"	41	31	33	38	41	12	24	42
"X10784"	40	31	32	39	41	12	24	42
"X10786"	38	27	31	37	39	11	24	38
"X10789"	37	29	32	37	38	12	23	39
"X10791"	39	30	31	40	41	11	24	40
"X10794"	41	30	33	37	40	12	24	40
"X10799"	41	30	33	40	41	12	23	42
"X1080"	36	30	30	39	41	12	24	41
"X10804"	41	30	33	40	40	12	24	41
"X10809"	40	31	33	38	41	12	24	37
"X10811"	39	30	32	39	39	12	24	41
"X10815"	41	31	32	39	41	12	22	42
"X10821"	37	29	31	37	40	12	24	37
"X10822"	39	31	33	39	41	12	24	42
"X10829"	41	31	33	40	41	12	24	41
"X1083"	41	31	33	40	41	12	24	42
"X10832"	37	30	30	37	40	11	24	40
"X10836"	37	29	32	38	39	11	24	39
"X10842"	41	29	30	39	37	11	24	41
"X10843"	40	30	33	40	41	12	23	40
"X10844"	36	30	31	38	39	11	24	41
"X10845"	41	30	32	39	40	12	24	40
"X10846"	35	27	32	36	37	10	23	38
"X10848"	37	28	30	32	38	11	23	38
"X10857"	41	31	32	39	41	12	24	42
"X10863"	36	30	28	38	39	12	24	39
"X10865"	41	31	33	40	40	12	24	42
"X10866"	39	28	27	37	37	11	24	39
"X10869"	38	30	33	39	41	12	23	41
"X1087"	33	29	28	39	33	12	24	39
"X10871"	38	25	29	37	37	12	23	38
"X10873"	41	31	33	40	41	12	24	42
"X10876"	39	29	31	37	39	11	23	38
"X10878"	36	28	31	36	39	11	24	39
"X1088"	38	27	29	34	38	11	24	39
"X10883"	41	31	33	40	41	12	24	41
"X10884"	36	28	31	35	39	11	24	37
"X10886"	36	28	28	38	39	10	24	36
"X10888"	35	28	26	33	35	11	24	37
"X10890"	41	31	33	40	41	12	24	42
"X10891"	41	31	32	39	37	11	24	42
"X10898"	39	28	30	37	40	11	24	39
"X10899"	41	31	33	40	41	12	24	42
"X1090"	40	30	33	39	41	11	24	40
"X10901"	41	31	33	40	41	12	24	42
"X10902"	39	29	33	38	37	12	24	40
"X10904"	39	29	32	40	40	12	24	42
"X10911"	41	28	32	40	40	12	24	42
"X10914"	38	29	30	38	41	11	23	40
"X10919"	41	31	33	40	40	12	24	42
"X10923"	35	31	29	37	35	12	24	37
"X10925"	39	30	31	39	39	11	24	41
"X10928"	38	24	29	34	38	11	23	37
"X10929"	41	31	33	40	40	12	24	42
"X10934"	36	27	31	34	36	10	21	37
"X10935"	39	31	33	39	39	10	24	39
"X10938"	37	28	29	36	39	11	24	39
"X1094"	41	31	33	38	40	12	24	42
"X10940"	40	31	33	40	41	12	24	40
"X10943"	38	30	33	36	37	11	23	34
"X10945"	41	30	29	35	41	11	22	40
"X10946"	36	30	31	37	37	11	24	40
"X10948"	39	28	31	37	40	11	24	38
"X10949"	39	30	32	38	39	12	24	39
"X1095"	36	30	32	35	35	12	23	36
"X10950"	40	30	32	39	41	11	24	40
"X10951"	34	29	30	35	34	12	22	37
"X10953"	41	30	33	39	41	11	24	40
"X10954"	41	31	33	40	41	12	24	42
"X10958"	34	27	29	34	37	11	24	35
"X10962"	41	31	33	39	41	12	24	42
"X10964"	41	31	33	40	41	12	24	42
"X10969"	41	31	33	40	41	12	24	42
"X10973"	39	30	32	39	39	12	24	38
"X10974"	41	30	32	37	38	11	24	40
"X10976"	41	31	33	40	41	12	24	42
"X10977"	36	29	31	38	37	12	22	38
"X10979"	41	31	32	40	40	12	23	42
"X10980"	41	31	33	40	41	12	24	42
"X10982"	39	30	30	39	39	12	24	40
"X10988"	39	28	31	37	40	11	24	39
"X10989"	39	29	32	36	39	11	23	39
"X10991"	41	31	32	40	41	12	24	42
"X10992"	41	29	33	40	41	12	24	42
"X10993"	35	30	32	36	39	12	23	38
"X10998"	39	27	30	37	39	10	24	37
"X10999"	40	29	32	39	39	12	22	39
"X1100"	41	31	33	40	41	12	24	42
"X11000"	39	28	32	39	40	12	23	39
"X11002"	41	31	33	40	41	12	24	42
"X11003"	36	30	29	39	38	11	22	36
"X11006"	40	31	32	39	37	12	23	42
"X11007"	41	31	33	38	41	12	24	42
"X11010"	41	31	33	40	41	12	24	42
"X11012"	40	31	33	40	41	12	24	42
"X11014"	41	31	33	39	41	12	24	42
"X11017"	40	31	32	38	40	12	24	41
"X11018"	39	28	31	37	39	11	24	39
"X11022"	36	27	32	36	37	12	24	38
"X11024"	37	27	29	37	37	12	24	36
"X1103"	34	29	31	37	36	12	22	38
"X11030"	39	30	32	40	40	12	24	41
"X11032"	40	31	33	40	41	12	24	42
"X11033"	37	30	33	38	40	12	24	38
"X11035"	41	31	33	40	41	12	24	42
"X11037"	41	31	32	38	41	12	23	41
"X1104"	40	27	29	38	39	11	23	40
"X11043"	38	29	33	40	41	12	24	42
"X11046"	38	31	32	39	37	11	23	40
"X1105"	40	31	32	39	40	12	24	42
"X11052"	41	31	33	40	41	12	24	42
"X11055"	34	29	31	39	40	12	24	41
"X11057"	40	30	32	40	40	12	24	41
"X11061"	40	28	33	39	41	12	24	40
"X11065"	41	31	32	40	40	12	24	42
"X11066"	38	28	26	37	39	11	23	38
"X11068"	39	28	31	37	40	11	24	39
"X1107"	39	31	33	39	41	12	24	42
"X11070"	34	25	30	35	33	10	24	36
"X11072"	40	30	32	38	39	11	24	42
